run,model,epoch,lam,task_loss,ponder_loss,test_score,test_task_loss,test_t,epoch_time_s
0,node,0,0.0,0.38533809061488533,0.0,0.9217,0.27678439745903016,1.0,104.89
0,node,1,0.0,0.2769547070766616,0.0,0.9257,0.2532845148563385,1.0,108.81
0,node,2,0.0,0.25035640958728445,0.0,0.9228,0.2564300755023956,1.0,109.75
0,node,3,0.0,0.23427640497047678,0.0,0.9326,0.23182373623847963,1.0,120.34
0,node,4,0.0,0.218715679887523,0.0,0.9366,0.22067055325508117,1.0,134.71
0,node,5,0.0,0.20282947867471948,0.0,0.9432,0.20427627429962159,1.0,144.08
0,node,6,0.0,0.18662499725563914,0.0,0.947,0.1892651907682419,1.0,159.8
0,node,7,0.0,0.16605465586941975,0.0,0.9584,0.1604653907060623,1.0,190.63
0,node,8,0.0,0.14303157695083538,0.0,0.9516,0.1657675712585449,1.0,220.45
0,node,9,0.0,0.12896778339790738,0.0,0.9629,0.13800577981472015,1.0,223.56
1,node,0,0.0,0.3827384250222618,0.0,0.923,0.27186744976043703,1.0,93.89
1,node,1,0.0,0.2753151166929394,0.0,0.9204,0.27219687123298647,1.0,113.24
1,node,2,0.0,0.253823302511094,0.0,0.9339,0.22757372879981994,1.0,122.59
1,node,3,0.0,0.23721855802413744,0.0,0.9343,0.22239104402065277,1.0,137.35
1,node,4,0.0,0.21774304049232832,0.0,0.9391,0.21109436242580415,1.0,144.18
1,node,5,0.0,0.19479795354299057,0.0,0.9445,0.20209435091018677,1.0,159.76
1,node,6,0.0,0.1750646806600639,0.0,0.9504,0.17628683376312257,1.0,179.08
1,node,7,0.0,0.15639621024935418,0.0,0.9512,0.1707950759410858,1.0,192.91
1,node,8,0.0,0.13855929375013226,0.0,0.9551,0.15750008955001832,1.0,211.78
1,node,9,0.0,0.1270192311360286,0.0,0.9576,0.15059148368835448,1.0,216.62
