run,model,epoch,lam,task_loss,ponder_loss,test_score,test_task_loss,test_steps,test_t
0,ait,0,0.001,0.4939889474348588,0.0006320943039926616,0.6423333333333333,0.4685217692057292,4.113,0.6531822509765625
0,ait,1,0.001,0.4587647264653986,0.0006741804748096249,0.6666666666666666,0.4407273356119792,4.595,0.7005298665364583
0,ait,2,0.001,0.4340363415804776,0.0007227719338102775,0.6666666666666666,0.424476318359375,4.875666666666667,0.7486741536458333
0,ait,3,0.001,0.41839872707020154,0.0007668063044548035,0.6666666666666666,0.41600244140625,5.034666666666666,0.7864366048177084
0,ait,4,0.001,0.41403861479325726,0.0008000584149902517,0.6666666666666666,0.41061673990885417,5.204666666666666,0.8131282552083333
0,ait,5,0.001,0.406263914975253,0.0008187390525232662,0.6666666666666666,0.40500370279947917,5.334666666666666,0.82216015625
0,ait,6,0.001,0.3989145972511985,0.000821578401056203,0.6666666666666666,0.39733544921875,5.470666666666666,0.8196736653645833
0,ait,7,0.001,0.39460277557373047,0.0008202568543228236,0.6666666666666666,0.3859124348958333,5.5616666666666665,0.8191717122395833
0,ait,8,0.001,0.38094667954878375,0.0008234870196743445,0.6666666666666666,0.3689113362630208,5.614333333333334,0.816759765625
0,ait,9,0.001,0.3628847599029541,0.0008086104961958798,0.6096666666666667,0.34547237141927084,5.562333333333333,0.7966891276041667
0,ait,10,0.001,0.332084829157049,0.0007922788235274228,0.7336666666666667,0.31180149332682294,5.526666666666666,0.7793128255208334
0,ait,11,0.001,0.2981911139054732,0.000779099085114219,0.8446666666666667,0.28138116455078127,5.514666666666667,0.7724829915364584
0,ait,12,0.001,0.27857451005415484,0.0007608747956427661,0.8483333333333334,0.25988033040364583,5.500666666666667,0.7548857421875
0,ait,13,0.001,0.26351428031921387,0.0007620025426149368,0.8526666666666667,0.24825166829427084,5.597666666666667,0.7694560546875
0,ait,14,0.001,0.25100198659029876,0.0007733629000457851,0.8586666666666667,0.23687491861979168,5.617,0.7610829264322917
0,ait,15,0.001,0.23904499140652744,0.0007624716751954772,0.8696666666666667,0.22654661051432293,5.707666666666666,0.7709024251302083
0,ait,16,0.001,0.23343142596158115,0.0007741239599206231,0.875,0.21860530598958333,5.731,0.768147216796875
0,ait,17,0.001,0.2214715914292769,0.0007658710025928237,0.883,0.20867508951822916,5.77,0.7726298014322917
0,ait,18,0.001,0.21275060827081854,0.0007649794728918509,0.8896666666666667,0.19926883951822916,5.787,0.76545361328125
0,ait,19,0.001,0.19719357924027878,0.0007635237310420383,0.8963333333333333,0.1880401407877604,5.792333333333334,0.759616455078125
0,ait,20,0.001,0.19323663278059525,0.0007542611353776672,0.902,0.17663480631510417,5.805666666666666,0.7496277669270833
0,ait,21,0.001,0.17782579768787732,0.0007426126606085084,0.9063333333333333,0.16483677164713542,5.802,0.7318369954427083
0,ait,22,0.001,0.16390603238886053,0.0007265744392167438,0.9163333333333333,0.15066536458333332,5.825666666666667,0.713786376953125
0,ait,23,0.001,0.14919347112829034,0.0007008697668259794,0.9283333333333333,0.1416809794108073,5.8966666666666665,0.7001494140625
0,ait,24,0.001,0.13965186205777255,0.0006939673542299054,0.927,0.12708772786458333,5.851,0.6802746988932291
0,ait,25,0.001,0.12494651837782426,0.0006869894621724433,0.9323333333333333,0.115298095703125,5.908,0.683276123046875
0,ait,26,0.001,0.11122872612693092,0.000678310678763823,0.9476666666666667,0.10200921630859375,5.934333333333333,0.6687971598307292
0,ait,27,0.001,0.10212241519581187,0.0006680285812101581,0.9476666666666667,0.09477054850260416,5.999333333333333,0.6684813639322916
0,ait,28,0.001,0.0911294546994296,0.0006719940680671822,0.9546666666666667,0.08501285298665365,6.0553333333333335,0.6713232014973959
0,ait,29,0.001,0.0809890790419145,0.0006685654463415796,0.9633333333333334,0.07577887980143229,6.0696666666666665,0.659019775390625
0,ait,30,0.001,0.0729410160671581,0.0006588985720141368,0.963,0.06772574869791667,6.033333333333333,0.6542861735026042
0,ait,31,0.001,0.06319108334454623,0.0006514398635111072,0.9746666666666667,0.061338943481445314,6.103666666666666,0.6505904134114583
0,ait,32,0.001,0.05850251154466109,0.0006503949619152329,0.977,0.05614639790852865,6.194333333333334,0.6555307210286458
0,ait,33,0.001,0.05158125812357122,0.0006527626378969712,0.9793333333333333,0.04769267781575521,6.148666666666666,0.65387060546875
0,ait,34,0.001,0.04801273887807673,0.0006575556895272298,0.9713333333333334,0.05575143432617188,6.188,0.6553121744791667
0,ait,35,0.001,0.04498388550498269,0.0006494250317866152,0.979,0.05072291056315104,6.227,0.6471377360026042
0,ait,36,0.001,0.04043988206169822,0.0006426116874949498,0.9813333333333333,0.04239105733235677,6.15,0.64032861328125
0,ait,37,0.001,0.033972339196638626,0.0006429258395325054,0.9833333333333333,0.03912210845947266,6.265,0.6466472981770833
0,ait,38,0.001,0.039286556569012726,0.0006452942351725968,0.9823333333333333,0.04518726603190104,6.342,0.648222900390625
0,ait,39,0.001,0.04667088118466464,0.0006500637497414242,0.9783333333333334,0.04397309875488281,6.239,0.642337890625
0,ait,40,0.001,0.03420197692784396,0.0006441302512857047,0.9913333333333333,0.03877545166015625,6.419333333333333,0.6507513834635417
0,ait,41,0.001,0.031654685735702515,0.0006478359414772553,0.985,0.030969622294108073,6.261666666666667,0.6415532633463542
0,ait,42,0.001,0.028901346705176613,0.0006361629559912465,0.9896666666666667,0.03248041280110677,6.342333333333333,0.6357843017578125
0,ait,43,0.001,0.03590156002478166,0.0006327033466236157,0.9876666666666667,0.03399583943684896,6.320333333333333,0.6342237141927083
