run,model,epoch,lam,task_loss,ponder_loss,test_score,test_task_loss,test_t,epoch_time_s
0,ait,0,0.01,0.3929057037855825,0.004154449430270455,0.9183,0.2862034153938293,0.3651726031780243,261.37
0,ait,1,0.01,0.2823807447352725,0.00350680654673463,0.9262,0.256607615852356,0.3403686682701111,243.52
0,ait,2,0.01,0.25980527888442206,0.003479578803416787,0.921,0.26309022655487063,0.3536103931427002,290.07
0,ait,3,0.01,0.24520879714853233,0.0036294508633864485,0.9274,0.24431622586250304,0.3550630751132965,336.84
0,ait,4,0.01,0.22731227782738006,0.003849965765968793,0.934,0.22908200421333313,0.3950105488777161,383.34
0,ait,5,0.01,0.2078365227764743,0.004177707580761968,0.9425,0.20215623517036438,0.4297225036621094,443.1
0,ait,6,0.01,0.19152223764576465,0.004685307195227052,0.9449,0.19425410344600677,0.48849683113098147,572.35
0,ait,7,0.01,0.17636846638738346,0.005026655616915315,0.9526,0.1658792161464691,0.5090359705924988,679.08
0,ait,8,0.01,0.15796332669436422,0.005285196491859407,0.9462,0.18117647285461425,0.5070132574081421,752.68
0,ait,9,0.01,0.14733510766114688,0.005418400258287532,0.9569,0.15195337319374083,0.5579998417854309,805.03
1,ait,0,0.01,0.39440411564886063,0.004422944845058597,0.9185,0.2851511803150177,0.40910780353546145,239.81
1,ait,1,0.01,0.28575213474786687,0.003974438896681317,0.9187,0.2840308777332306,0.38695228519439695,248.35
1,ait,2,0.01,0.267518266191722,0.0038216602839290714,0.929,0.24516535172462464,0.3782286435604095,258.64
1,ait,3,0.01,0.25472985637875706,0.0038734726790880035,0.9292,0.24867709846496583,0.39468959226608274,301.11
1,ait,4,0.01,0.24221796672950444,0.004090460010358475,0.9339,0.23348348155021667,0.41835281772613525,310.48
1,ait,5,0.01,0.22690717774069208,0.004535865254548944,0.9363,0.22040215229988097,0.47450838232040404,354.84
1,ait,6,0.01,0.21235575356608272,0.0051611024631649,0.9384,0.21400184202194214,0.5121743203639985,448.53
1,ait,7,0.01,0.19343886032509497,0.005695457427969409,0.9433,0.19944895014762878,0.587009868812561,557.01
1,ait,8,0.01,0.17496971727914026,0.005975485878845311,0.9524,0.1765986074447632,0.6126621068000794,627.44
1,ait,9,0.01,0.16396703909382096,0.0062151689392824965,0.9533,0.16754315108060835,0.6189909490585327,703.3
