run,model,epoch,lam,task_loss,ponder_loss,test_score,test_task_loss,test_t,epoch_time_s
0,ait,0,0.0001,0.39326827043396795,4.342689050497581e-05,0.9181,0.2863083768844604,0.40208123216629027,130.07
0,ait,1,0.0001,0.28170469193122327,4.145260882224593e-05,0.926,0.25633477902412416,0.4286784791469574,114.92
0,ait,2,0.0001,0.2574994675655905,4.773406609219975e-05,0.9222,0.26331897706985474,0.5006252705574036,138.32
0,ait,3,0.0001,0.2415029470386923,5.6273362265800774e-05,0.9319,0.22979973664283754,0.5717503185272217,165.18
0,ait,4,0.0001,0.2209471044027143,6.738884309388828e-05,0.9375,0.21499124808311462,0.6862636539459228,202.78
0,ait,5,0.0001,0.19678931134060407,7.532549534516875e-05,0.942,0.19585653095245362,0.8126624807357788,246.14
0,ait,6,0.0001,0.17602957888609833,8.046740997367754e-05,0.9526,0.16605306725502014,0.8437804800033569,288.1
0,ait,7,0.0001,0.1580511555672647,8.32521214512322e-05,0.9588,0.1472743895769119,0.8508456212997436,321.06
0,ait,8,0.0001,0.14081484045132867,8.722847647172435e-05,0.9556,0.16152349100112914,0.8742511415481568,349.89
0,ait,9,0.0001,0.130735965919259,9.002289558478739e-05,0.961,0.14191025190353393,0.9102505516052246,374.93
1,ait,0,0.0001,0.39446579903746265,4.592975702142476e-05,0.9189,0.28448224310874937,0.4393184272766113,104.84
1,ait,1,0.0001,0.2844370871336542,4.4844471405792094e-05,0.9187,0.28190267457962037,0.45411111178398134,107.55
1,ait,2,0.0001,0.26382109998828834,4.850367628785177e-05,0.9314,0.2398985472202301,0.5156481101036072,128.64
1,ait,3,0.0001,0.24865925283386156,5.5040502755016656e-05,0.9315,0.2371482707977295,0.5854093566894532,157.86
1,ait,4,0.0001,0.23243994869960424,6.42513181695453e-05,0.9354,0.22684923834800721,0.7022593170166016,186.21
1,ait,5,0.0001,0.21592791623666754,7.22487504048269e-05,0.9419,0.20428967669010162,0.7367186086654663,232.57
1,ait,6,0.0001,0.19673880415721837,7.598673429541115e-05,0.9448,0.18545289778709412,0.7730053260803222,270.33
1,ait,7,0.0001,0.1810198259802583,7.819437695048754e-05,0.9494,0.18299194235801697,0.7612512811660767,293.95
1,ait,8,0.0001,0.16166164468910194,7.616754549564933e-05,0.9544,0.1640261082649231,0.7742660902023315,315.47
1,ait,9,0.0001,0.15151914232211489,7.581266448755936e-05,0.9563,0.15281651430130005,0.7530303567886353,341.08
